Run,TID,L1_hit,L2_hit,DRAM_hit,N_accesses,N_mem_stalls,N_L2_mem_stalls,N_L2_miss_mem_stalls,L1_cycles,L2_cycles,DRAM_cycles
ep.B.x_LARC_A,18,99.26,0.303548,0.436451999999989,326813813,,,,,,
ep.B.x_LARC_A,19,99.27,0.299446,0.430554000000001,326811047,,,,,,
ep.B.x_LARC_A,20,99.27,0.299446,0.430554000000001,326814029,,,,,,
ep.B.x_LARC_A,21,99.27,0.299446,0.430554000000001,326814324,,,,,,
ep.B.x_LARC_A,22,99.27,0.299446,0.430554000000001,326812371,,,,,,
ep.B.x_LARC_A,23,99.27,0.299446,0.430554000000001,326813109,,,,,,
ep.B.x_LARC_A,24,99.27,0.299446,0.430554000000001,326812585,,,,,,
ep.B.x_LARC_A,25,99.27,0.299446,0.430554000000001,326813266,,,,,,
ep.B.x_LARC_A,26,99.26,0.303548,0.436451999999989,326814050,,,,,,
ep.B.x_LARC_A,27,99.27,0.299446,0.430554000000001,326813265,,,,,,
ep.B.x_LARC_A,28,99.27,0.299446,0.430554000000001,326813639,,,,,,
ep.B.x_LARC_A,29,99.27,0.299446,0.430554000000001,326812443,,,,,,
ep.B.x_LARC_A,30,99.27,0.299446,0.430554000000001,326812455,,,,,,
ep.B.x_LARC_A,31,99.27,0.299446,0.430554000000001,326812780,,,,,,
ep.B.x_LARC_C,0,99.22,0.319956,0.460043999999996,326802030,,,,,,
ep.B.x_LARC_C,1,99.27,0.299446,0.430554000000001,326814620,,,,,,
ep.B.x_LARC_C,2,99.27,0.299446,0.430554000000001,326812462,,,,,,
ep.B.x_LARC_C,3,99.27,0.299446,0.430554000000001,326814321,,,,,,
ep.B.x_LARC_C,4,99.27,0.299446,0.430554000000001,326812533,,,,,,
ep.B.x_LARC_C,5,99.27,0.299446,0.430554000000001,326812361,,,,,,
ep.B.x_LARC_C,6,99.27,0.299446,0.430554000000001,326813973,,,,,,
ep.B.x_LARC_C,7,99.27,0.299446,0.430554000000001,326811732,,,,,,
ep.B.x_LARC_C,8,99.27,0.299446,0.430554000000001,326813463,,,,,,
